Firstname,Middlename,Lastname,Sex,House_No,Street,Subdivision,Date_of_Birth,Place_of_Birth,Civil_Status,Occupation,Email,Contact_No,Voter_Status,Citizenship,Household_No,OSY,PWD,Household_Head,Ext
KB,JKB,TWIST,Male,123,KJB,KJB,2023-11-07,JKB,Divorced,KHV,renzvanni999@gmail.com,,,KJB,,N/A,,no,JB
SHIN,MOON,WOON,Male,008,peebo,SWORN,2007-11-08,PASAY,Single,DEVELOPER,renzvanni999@gmail.com,09123456789,,FILIPINO,,N/A,,yes,
SEAM,ADAS,RFTRFT,Male,ASDA,ASDASD,WASDASD,2001-12-31,ASDASD,Married,ASDAS,renzvanni999@gmail.com,,,ASDAS,,N/A,,no,ASD
JKLN,NL,KJHL,Male,23,KJB,KJB,2023-11-07,JKBKJ,Divorced,KJB,renzvanni999@gmail.com,,,KJB,,N/A,,no,KLN
FLAY,SWORD,RONAN,Male,123,KJB,JB,2023-11-22,JBL,Single,LJB,renzvanni999@gmail.com,,,LBL,,N/A,,no,KJB
TIME,FROUN,AMY,Male,123,KJB,JB,2023-11-14,JB,Married,ASCASC,,,,"J MN ",,N/A,,"  ",JB
KLN,KLN,SHIE,Male,213,KJB,JKB,2023-11-01,KN,Married,KBVK,,,,KLN,,N/A,,,px
jake,paul,HART,Male,21323,KJBss,asasc,2023-11-04,",BJ",Married,"MN N",raca@gmail.com,09123456789,,JB,,N/A,,"jake paul HART",
KLNLK,NLK,JKNJKN,Male,21,lelouch,jbl,2023-11-22,KJNKN,Divorced,JKB,bard@gmail.com,09123456785,,NKN,,N/A,,yes,L
JBK,JKB,BAW,Female,123,KBJ,KJB,2023-11-15,KJKJ,Single,JKB,renzvanni999@gmail.com,,,J,,N/A,,yes,KJB
KJB,JKB,HAK,Male,123,KBJ,KJB,2023-11-01,KJBKJB,Divorced,BJK,,09123456789,,JKB,,N/A,,"JBK JKB BAW",JK
KJBJK,KJB,KKKL,Male,213,HJB,B,2023-11-29,KNK,Married,JKB,hjbk@gmail.com,09123456789,,NKL,,N/A,,yes,
JIN,GRAY,FLARE,Male,213,KV,JKB,2023-11-16,KJBKJB,Single,KJB,,,,JKBJKB,,N/A,,yes,KJH
FRIA,TAIL,HART,Male,213,KV,JKB,2023-11-08,KJBKJB,Divorced,JHVJHV,renzvanni999@gmail.com,0912345678,,KJBJ,,N/A,,"JIN GRAY FLARE",J
LYSSA,COLY,ROSE,Male,213,KV,JKB,2023-11-21,JKBKJB,Divorced,JHVJV,,,,JKBKJ,,N/A,,"JIN GRAY FLARE",KB
JJHV,HJGHJ,LLLL,Male,213,KJBJKB,KJBKJB,2023-11-15,HGVGVJ,Married,JKB,,,,VJHV,,N/A,,"JJHV HJGHJ LLLL",JHG
JHGGJH,GHJG,GGGG,Male,213,KJBJKB,KJBKJB,2023-11-01,KBJKB,Single,KJBJK,,,,JKB,,N/A,,"JHGGJH GHJG GGGG",GX
KBKB,JKBKJ,AAA,Female,213,KJBJKB,KJBKJB,2023-11-07,KJBKB,Divorced,KB,,,,JKB,,N/A,,"  ",BJKB
JHHVB,KBKJ,YYYY,Male,213,HB,KJB,2023-11-14,KBKJB,Divorced,JKB,,,,JKBKJ,,N/A,,"JHBKJB JKB RRR",BJK
JHBKJB,JKB,RRR,Male,213,HB,KJB,2023-11-14,KJBKB,Married,"NM MNB",,,,JKB,,N/A,,yes,KB
JKBJKB,JKBJK,BBB,Male,213,HB,KJB,2023-11-14,KJBKJB,Married,JKBJ,,,,JB,,N/A,,"JHBKJB JKB RRR",BKB
KJBJKB,BLB,001,Male,123,KJB,JK,2023-10-31,KJBJKB,Married,KBJ,,,,JKBK,,N/A,,,KL
HKB,KJB,002,Female,123,KJB,JK,2023-11-15,JKBJKB,Married,KKJB,,,,KJB,,N/A,,,KJB
KJBKBJ,JKB,003,Male,123,KJB,JK,2023-11-22,LNLN,Married,BKB,,,,LKN,,N/A,,,KJB
KJBJK,KB,001,Female,123,KJB,BJ,2023-11-14,NKLN,Married,KJB,,,,KLN,,N/A,,no,JK
JKBKJ,B,002,Female,123,KJB,BJ,2023-11-14,LNLKN,Married,BBJ,,,,LKN,,N/A,,no,JK
JKJKB,JB,003,Male,123,KJB,BJ,2023-11-14,JJKB,Married,KJBK,,,,JJKB,,N/A,,"  ",JB
JKKJB,JBK,004,Female,123,JHVBKJ,BKJ,2023-11-07,KJKJB,Married,KJB,,,,JKB,,N/A,,no,JB
JBKJB,JBLJ,005,Female,123,JHVBKJ,BKJ,2023-11-07,LNKLN,Married,KJBB,,,,NL,,N/A,,no,B
JNN,KLN,006,Male,123,JHVBKJ,BKJ,2023-11-07,NLN,Married,KB,,,,KLN,,N/A,,"JNN KLN 006",KLN
BJJKB,BJK,007,Male,123,JKBKJ,BJK,2023-11-14,KJBKJB,Single,KAS,,09123456789,,JB,,N/A,,"JKBKB JBJKB 008",KB
JKBKB,JBJKB,008,Male,123,JKBKJ,BJK,2023-11-21,JKBKBJ,Married,BJKB,,09123456789,,KBK,,N/A,,yes,LJBL
HBJKB,BJK,009,Male,123,JKBKJ,BJK,2023-11-07,KJBKJB,Single,KJBKB,,,,KJB,,N/A,,"JKBKB JBJKB 008",KJB
JKBK,KJB,010,Male,123,JKBKJ,BJK,2023-11-02,LJKNJN,Married,KJBJKB,,,,LN,,N/A,,"JKBKB JBJKB 008",KB
HBKJB,KJB,012,Female,123,JBKJB,JKB,2023-11-14,KJBJKB,Married,KJB,012@gmail.com,09123456789,,KJB,,N/A,,yes,KJB
JBJKB,KBS,013,Female,123,JBKJB,JKB,2023-11-14,JKBKJB,Divorced,"BJ,",013@gmail.com,09123456789,,JKB,,N/A,,"A16 Q16 FRAKE",
HJH,JDG,014,Male,123,JBKJB,JKB,2023-11-08,JBJKB,Divorced,MBKJ,014@gmail.com,09123456789,,JB,,N/A,,"JBJKB KB 013",BBJ
BJKB,B,015,Male,123,"MN,MN",",N",2023-11-14,KJBKB,Married,N,015@gmail.com,09123456789,Non-voters,J,,N/A,,"A16 Q16 FRAKE",JKB
A16,Q16,FRAKE,Male,123,"MN,MN",",N",2023-11-07,QQ,Single,DEV,TS116@gmail.com,09123456789,Voters,WWW,,N/A,,"BJKB B 015",SKT1
QW17,AS17,017,Female,123,"MN,MN",",N",2023-11-07,LLL,Married,NURSE,t17@gmail.com,09987654321,Voters,III,,N/A,,"BJKB B 015",T3
OOO,II,KKK,Male,123,BKJB,JB,2023-11-08,JKKB,Single,KJB,vhjv@gmail.com,09123456789,,KJB,,N/A,,"A16 Q16 FRAKE",
"SIGE ",OO,AKO,Male,ASD,ASD,ASD,2023-10-30,ASDASDASDASD,Single,ASD,rohomeres026@gmail.com,,,ASDSD,,N/A,,"A16 Q16 FRAKE",
ASDASD,ASDA,ASDASDP[,Male,ASDASD,DASASD,ASASD,2023-11-12,ASD,Single,ASD,,,Voters,ASD,,N/A,,,
KIRI,SAN,WOOL,Male,213,SDVSDV,SDV,2023-11-07,KBKB,Single,SDV,renzvanni999@gmail.com,,,JKNKN,,N/A,,"A16 Q16 FRAKE",
KJBJKB,KJB,ORIANA,Male,123,KJB,KJB,2023-11-21,KJB,Single,SDVS,,,,KJB,,N/A,,"A16 Q16 FRAKE",KB
00M,N,JKNKJ,Male,123,KJB,KJB,2023-12-12,KJBB,Single,K,basca@gmail.com,09123456789,Voters,KJBK,,N/A,,yes,NKJ
BIIIK,KJBJKB,KJB,Male,123,KJB,KJB,2023-12-12,KJBKBJ,Divorced,KJBKB,reasc@gmail.com,09123456789,Voters,KJBKBJ,,N/A,,"ELLE KJJN KLN",BJ
MMSC,KJB,JKB,Male,123,KJB,KJB,2023-12-20,KHKJB,Married,KJBJ,2wc@gmail.com,09123456789,Non-voters,JKB,,N/A,,"ELLE KJJN KLN",KJB
MMML,LNL,NLKJN,Male,213,KJ,B,2023-12-06,KJBKJB,Married,KJB,jhhb@gmail.com,09123456789,Voters,JKB,,N/A,,yes,LKN
NBLKN,KLN,KLN,Male,123,KJB,JKB,2023-12-06,",JBLJN",Married,KJB,sdvs@gmail.com,09123456789,Voters,LKN,,N/A,,yes,SDV
OOH,KJBJKB,KJB,Female,213,HVB,KJB,2023-12-05,KJBKJ,Single,KJB,sdvs@gmail.com,09123456789,Voters,KJB,,N/A,,yes,KB
BBPO,BKJN,NL,Male,213,JKB,KJBKJ,2023-12-05,JJN,Married,BKJB,sdv@gmail.com,09123456789,Voters,NLNK,,N/A,,yes,NLKN
TANGOL,KJBKJB,KJB,Male,23,KJBK,JKB,2023-12-05,KBKJB,Single,KJB,asca@gmail.com,09123456789,Non-voters,KJB,,N/A,,yes,KJB
ELLE,KJJN,KLN,Male,123,KJBJB,KJB,2023-12-06,JJNKN,Single,KJB,hjvhjvb@gmail.com,09123456789,Voters,LKNL,,N/A,,yes,
HARU,FRAKE,FALLEN,Male,092,PIER,HARVY,2023-12-05,CAVITE,Single,DEVELOPER,renzvanni999@gmail.com,09217108178,,FILIPINO,,N/A,,yes,
ZERI,FLARE,SILLA,Male,123,GRAND,CHASE,2023-12-12,CAVITE,Divorced,DEVELOPER,renzvanni999@gmail.com,09217108178,,FILIPINO,,N/A,,yes,
KNLNLN,KN,LNNK,Male,23,NLN,KN,2023-12-13,LKNKLN,Single,LKN,hjbb@gmail.com,09123456789,,LKN,,N/A,,yes,
JIN,GRAY,FLARE,Male,213,KV,JKB,2023-11-16,KJBKJB,Single,KJB,,,,JKBJKB,,N/A,,yes,
FRIA,TAIL,HART,Male,213,KV,JKB,2023-11-08,KJBKJB,Divorced,JHVJHV,renzvanni999@gmail.com,0912345678,,KJBJ,,N/A,,"JIN GRAY FLARE",
LYSSA,COLY,ROSE,Male,213,KV,JKB,2023-11-21,JKBKJB,Divorced,JHVJV,,,,JKBKJ,,N/A,,yes,
JIN,GRAY,FLARE,Male,213,KV,JKB,2023-11-16,KJBKJB,Single,KJB,,,,JKBJKB,,N/A,,yes,
FRIA,TAIL,HART,Male,213,KV,JKB,2023-11-08,KJBKJB,Divorced,JHVJHV,renzvanni999@gmail.com,0912345678,,KJBJ,,N/A,,"JIN GRAY FLARE",
LYSSA,COLY,ROSE,Male,213,KV,JKB,2023-11-21,JKBKJB,Divorced,JHVJV,,,,JKBKJ,,N/A,,"JIN GRAY FLARE",
FRAKE,SOUL,AUL,Male,123,PREA,STAKS,2023-12-06,PASAY,Single,LOGS,renzvanni999@gmail.com,09217108178,,FILIPINO,,N/A,,yes,
